SignalTime,Instrument,Direction,Score,Strike,EntryPrice,ExpiryPrice,ExpiryTime,Result,Spread_pips,MAE_pips,MFE_pips
2026-06-11 02:30:00,CADJPY,BUY,+6,16,115.15400,115.15800,2026-06-11 03:30:00,LOSS,1.5,1.6,4.2
2026-06-11 03:15:00,EURJPY,BUY,+7,28,185.38100,185.38700,2026-06-11 04:15:00,LOSS,1.5,4.0,5.6
2026-06-11 11:00:00,EURUSD,SELL,-7,19,1.15320,1.15300,2026-06-11 12:00:00,WIN,1.5,5.0,3.5
2026-06-11 11:00:00,USDCHF,BUY,+7,16,0.80007,0.79972,2026-06-11 12:00:00,LOSS,1.5,6.2,1.7
2026-06-11 12:15:00,GBPUSD,SELL,-7,24,1.33554,1.33616,2026-06-11 13:15:00,LOSS,1.5,10.2,3.1
2026-06-11 13:15:00,EURCAD,BUY,+7,20,1.61225,1.61209,2026-06-11 14:15:00,LOSS,1.5,4.1,6.3
2026-06-11 15:15:00,NZDUSD,SELL,-7,11,0.57740,0.57740,2026-06-11 16:15:00,LOSS,1.5,12.2,2.4
2026-06-11 19:30:00,GBPCAD,BUY,+6,31,1.86911,1.87240,2026-06-11 20:30:00,WIN,1.5,2.8,40.8
2026-06-11 23:30:01,EURCAD,BUY,+7,18,1.61673,1.61649,2026-06-12 00:30:01,LOSS,1.5,11.8,4.9
2026-06-12 00:15:00,GBPCAD,BUY,+8,24,1.87423,1.87406,2026-06-12 01:15:00,LOSS,1.5,8.7,1.6
2026-06-12 02:30:00,AUDUSD,BUY,+6,16,0.70460,0.70323,2026-06-12 03:30:00,LOSS,1.5,16.4,1.4
2026-06-12 06:30:00,AUDJPY,BUY,+6,22,112.84800,112.73800,2026-06-12 07:30:00,LOSS,1.5,15.2,4.0
2026-06-12 06:45:00,AUDUSD,BUY,+8,16,0.70436,0.70293,2026-06-12 07:45:00,LOSS,1.5,14.9,0.4
2026-06-12 06:45:00,EURAUD,SELL,-6,27,1.64296,1.64468,2026-06-12 07:45:00,LOSS,1.5,21.5,1.1
2026-06-12 11:15:00,GBPCAD,BUY,+8,19,1.87598,1.87584,2026-06-12 12:15:00,LOSS,1.5,4.3,5.5
2026-06-12 11:30:00,AUDJPY,BUY,+7,21,112.84000,112.79000,2026-06-12 12:30:00,LOSS,1.5,15.9,0.5
2026-06-12 11:30:00,EURCAD,BUY,+9,18,1.61944,1.61858,2026-06-12 12:30:00,LOSS,1.5,11.1,5.4
2026-06-12 18:45:00,GBPCAD,BUY,+7,26,1.87459,1.87514,2026-06-12 19:45:00,WIN,1.5,5.9,6.9
